pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911474.198438,308880818,2,0,3,6,51259
1777911474.2009275,308880818,2,0,4,8,72331
1777911474.2031472,308880818,2,1,4,9,30618
1777911474.2050314,308880818,2,0,10,20,78972
1777911474.2066405,308880818,2,1,10,20,39552
1777911474.2987797,308981260,2,0,3,6,51259
1777911474.3019288,308981260,2,0,4,8,72337
1777911474.3031826,308981260,2,1,4,9,30619
1777911474.3053756,308981260,2,0,10,20,78977
1777911474.3080318,308981260,2,1,10,20,39553
1777911474.399602,309081710,2,0,3,6,51259
1777911474.402002,309081710,2,0,4,9,72340
1777911474.404526,309081710,2,1,4,8,30619
1777911474.4068062,309081710,2,0,10,21,78978
1777911474.4084415,309081710,2,1,10,20,39552
1777911474.5001287,309182150,2,0,3,6,51259
1777911474.5035727,309182150,2,0,4,9,72336
1777911474.5060194,309182150,2,1,4,9,30612
1777911474.507632,309182150,2,0,10,20,78975
1777911474.5089495,309182150,2,1,10,20,39547
1777911474.6000416,309282627,2,0,3,6,51259
1777911474.6022234,309282627,2,0,4,8,72331
1777911474.6041143,309282627,2,1,4,8,30612
1777911474.6063378,309282627,2,0,10,21,78970
1777911474.6086257,309282627,2,1,10,21,39546
1777911474.7012613,309383133,2,0,3,6,51259
1777911474.7036905,309383133,2,0,4,9,72329
1777911474.7057524,309383133,2,1,4,8,30610
1777911474.7073636,309383133,2,0,10,21,78967
1777911474.708639,309383133,2,1,10,21,39544
1777911474.800998,309483819,2,0,3,6,51259
1777911474.8037634,309483819,2,0,4,9,72323
1777911474.8058043,309483819,2,1,4,9,30611
1777911474.8073878,309483819,2,0,10,21,78959
1777911474.8086748,309483819,2,1,10,20,39541
1777911474.9026372,309584340,2,0,3,6,51259
1777911474.9050581,309584340,2,0,4,9,72314
1777911474.9068263,309584340,2,1,4,9,30607
1777911474.9090762,309584340,2,0,10,21,78948
1777911474.9109416,309584340,2,1,10,21,39539
1777911475.0022404,309684828,2,0,3,6,51259
1777911475.0041037,309684828,2,0,4,9,72302
1777911475.0058334,309684828,2,1,4,9,30606
1777911475.0071146,309684828,2,0,10,21,78938
1777911475.0087452,309684828,2,1,10,21,39535
1777911475.10277,309785644,2,0,3,6,51259
1777911475.1051123,309785644,2,0,4,8,72291
1777911475.106597,309785644,2,1,4,8,30603
1777911475.107953,309785644,2,0,10,21,78923
1777911475.1098971,309785644,2,1,10,20,39533
1777911475.204421,309886115,2,0,3,6,51259
1777911475.2074928,309886115,2,0,4,9,72286
1777911475.2089732,309886115,2,1,4,9,30601
1777911475.2104943,309886115,2,0,10,20,78921
1777911475.2118163,309886115,2,1,10,20,39533
1777911475.3036568,309986569,2,0,3,6,51259
1777911475.3059666,309986569,2,0,4,8,72282
1777911475.3071287,309986569,2,1,4,9,30599
1777911475.3087158,309986569,2,0,10,21,78918
1777911475.3098245,309986569,2,1,10,21,39531
1777911475.4054372,310087059,2,0,3,6,51259
1777911475.4077806,310087059,2,0,4,9,72279
1777911475.409627,310087059,2,1,4,9,30597
1777911475.4109125,310087059,2,0,10,20,78917
1777911475.413885,310087059,2,1,10,21,39531
1777911475.5048957,310187549,2,0,3,6,51259
1777911475.5073433,310187549,2,0,4,9,72277
1777911475.5090492,310187549,2,1,4,8,30593
1777911475.5110667,310187549,2,0,10,20,78916
1777911475.5131795,310187549,2,1,10,20,39529
1777911475.605488,310288008,2,0,3,6,51259
1777911475.6077886,310288008,2,0,4,8,72271
1777911475.6093414,310288008,2,1,4,8,30595
1777911475.6108868,310288008,2,0,10,21,78905
1777911475.6128287,310288008,2,1,10,21,39527
1777911475.7057805,310388569,2,0,3,6,51259
1777911475.7081518,310388569,2,0,4,8,72264
1777911475.7096958,310388569,2,1,4,8,30596
1777911475.7112446,310388569,2,0,10,20,78895
1777911475.7137125,310388569,2,1,10,20,39526
1777911475.8069315,310489000,2,0,3,6,51259
1777911475.8101559,310489000,2,0,4,8,72255
1777911475.8117414,310489000,2,1,4,8,30594
1777911475.814727,310489000,2,0,10,21,78887
1777911475.8166206,310489000,2,1,10,21,39523
1777911475.9060667,310589456,2,0,3,6,51259
1777911475.9072397,310589456,2,0,4,9,72244
1777911475.908317,310589456,2,1,4,9,30592
1777911475.9091856,310589456,2,0,10,20,78878
1777911475.910024,310589456,2,1,10,21,39519
1777911476.0070324,310689942,2,0,3,6,51259
1777911476.0090299,310689942,2,0,4,8,72240
1777911476.010484,310689942,2,1,4,8,30590
1777911476.0120628,310689942,2,0,10,21,78867
1777911476.014556,310689942,2,1,10,21,39515
1777911476.1085596,310790582,2,0,3,6,51259
1777911476.111244,310790582,2,0,4,8,72235
1777911476.1139185,310790582,2,1,4,8,30589
1777911476.1159966,310790582,2,0,10,21,78864
1777911476.117623,310790582,2,1,10,21,39513
1777911476.2092707,310891832,2,0,3,6,51259
1777911476.2116008,310891832,2,0,4,8,72229
1777911476.213983,310891832,2,1,4,8,30584
1777911476.21545,310891832,2,0,10,21,78862
1777911476.2175858,310891832,2,1,10,20,39514
1777911476.309438,310992295,2,0,3,6,51259
1777911476.31095,310992295,2,0,4,8,72225
1777911476.312974,310992295,2,1,4,9,30585
1777911476.3147438,310992295,2,0,10,20,78856
1777911476.3156695,310992295,2,1,10,20,39513
1777911476.4101765,311092836,2,0,3,6,51259
