time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473134.4659655,2,1,10,20,62118
1777473134.557752,2,0,4,8,87229
1777473134.5633585,2,0,10,20,25590
1777473134.5690258,2,1,4,8,49746
1777473134.5716295,2,1,10,21,61595
1777473134.6581254,2,0,4,8,87693
1777473134.6630194,2,0,10,20,25595
1777473134.6686735,2,1,4,9,49413
1777473134.6712408,2,1,10,20,62117
1777473134.7662601,2,0,4,9,87693
1777473134.7715642,2,0,10,21,25287
1777473134.7789001,2,1,4,9,49746
1777473134.781657,2,1,10,21,62117
1777473134.864256,2,0,4,9,87692
1777473134.8688745,2,0,10,21,25594
1777473134.8755357,2,1,4,9,49414
1777473134.8788562,2,1,10,21,62119
1777473134.9680347,2,0,4,9,87692
1777473134.973851,2,0,10,20,25595
1777473134.980711,2,1,4,9,49744
1777473134.983823,2,1,10,20,62115
1777473135.0722153,2,0,4,8,87694
1777473135.0774193,2,0,10,20,25593
1777473135.0836747,2,1,4,8,49744
1777473135.0876284,2,1,10,21,62116
1777473135.1758072,2,0,4,9,87692
1777473135.181229,2,0,10,20,25596
1777473135.18739,2,1,4,9,49744
1777473135.1908946,2,1,10,20,62117
1777473135.2815294,2,0,4,8,49410
1777473135.2864916,2,0,10,20,25285
1777473135.2954876,2,1,4,8,87694
1777473135.2998717,2,1,10,20,62115
1777473135.3806396,2,0,4,8,49746
1777473135.3854246,2,0,10,20,25594
1777473135.3925223,2,1,4,9,11574
1777473135.3956869,2,1,10,20,62115
1777473135.4860394,2,0,4,8,87694
1777473135.49193,2,0,10,21,25583
1777473135.4994342,2,1,4,8,49413
1777473135.502193,2,1,10,21,62113
1777473135.5894659,2,0,4,8,87229
1777473135.5956097,2,0,10,20,25590
1777473135.6022546,2,1,4,8,49746
1777473135.6051013,2,1,10,20,62114
1777473135.693653,2,0,4,9,49413
1777473135.6986613,2,0,10,21,25583
1777473135.7064698,2,1,4,9,87693
1777473135.7090492,2,1,10,21,61610
1777473135.7978747,2,0,4,9,49412
1777473135.8029017,2,0,10,20,25282
1777473135.8110766,2,1,4,9,87232
1777473135.814562,2,1,10,21,62113
1777473135.898219,2,0,4,8,87229
1777473135.902954,2,0,10,20,25590
1777473135.9105704,2,1,4,8,49744
1777473135.9134316,2,1,10,20,62112
1777473136.0033016,2,0,4,9,87230
1777473136.0088165,2,0,10,20,25590
1777473136.015135,2,1,4,8,49746
1777473136.0178807,2,1,10,20,62113
1777473136.0966733,2,0,4,8,87694
1777473136.09993,2,0,10,20,25284
1777473136.1033013,2,1,4,8,49747
1777473136.1054451,2,1,10,21,62112
1777473136.1968997,2,0,4,9,87232
1777473136.1996024,2,0,10,20,25590
1777473136.2028077,2,1,4,9,49413
1777473136.204345,2,1,10,20,62112
1777473136.312452,2,0,4,8,49745
1777473136.3172584,2,0,10,20,25590
1777473136.32378,2,1,4,8,87229
1777473136.327022,2,1,10,20,62112
1777473136.415374,2,0,4,8,49414
1777473136.4196935,2,0,10,20,25590
1777473136.4266758,2,1,4,9,87225
1777473136.429569,2,1,10,20,62112
1777473136.519133,2,0,4,8,49747
1777473136.5230763,2,0,10,21,25282
1777473136.527227,2,1,4,8,87229
1777473136.5292373,2,1,10,21,62113
1777473136.6214142,2,0,4,8,49410
1777473136.6274407,2,0,10,21,25583
1777473136.6340108,2,1,4,8,87694
1777473136.636915,2,1,10,21,61598
